#Receptor_resid	Ligand_resid
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
1735	167
1735	196
1735	199
1735	200
1735	203
1735	204
1735	205
1735	231
1735	235
1735	667
1735	696
1735	699
1735	700
1735	703
1735	704
1735	705
1735	731
1735	735
1735	1167
1735	1196
1735	1199
1735	1200
1735	1203
1735	1204
1735	1205
1735	1231
1735	1235
1735	1667
1735	1696
1735	1699
1735	1700
1735	1703
1735	1704
1735	1705
1735	1731
1735	1735
