#Receptor_resid	Ligand_resid
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
900	51
900	120
900	123
900	124
900	125
900	126
900	157
900	158
900	159
900	160
900	161
900	162
900	165
900	168
900	182
900	184
900	186
900	196
900	620
900	621
900	623
900	624
900	625
900	626
900	656
900	657
900	658
900	659
900	661
900	663
900	664
900	667
900	668
900	671
900	687
900	689
900	900
