#Receptor_resid	Ligand_resid
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
1010	809
1010	810
1010	822
1010	824
1010	825
1010	826
1010	829
1010	832
1010	875
1010	876
1010	879
1010	880
1010	881
1010	884
1010	908
1010	910
1010	911
1010	912
1010	913
1010	929
1010	930
1010	931
1010	934
1010	935
1010	936
1010	938
1010	939
1010	940
1010	942
1010	943
1010	944
1010	945
1010	963
1010	1002
1010	1003
1010	1007
1010	1010
